@relation InstanceResultListener

@attribute Key_Dataset {'textdump.arff-weka.filters.unsupervised.attribute.Remove-R2-3,11-12,25-34',textdump.arff,'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31'}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.rules.ZeroR,weka.classifiers.bayes.NaiveBayes,weka.classifiers.lazy.IBk,weka.classifiers.rules.PART,weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {48055541465867954,5995231201785697655,-3080186098777067172,8121455039782598361,-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of rules: 140\n','Number of rules: 131\n','Number of rules: 149\n','Number of rules: 129\n','Number of rules: 127\n','Number of rules: 137\n','Number of rules: 128\n','Number of rules: 134\n','Number of rules: 135\n','Number of rules: 144\n','Number of rules: 143\n','Number of rules: 133\n','Number of rules: 130\n','Number of rules: 132\n','Number of rules: 146\n','Number of rules: 136\n','Number of rules: 139\n','Number of rules: 121\n','Number of rules: 124\n','Number of rules: 126\n','Number of rules: 145\n','Number of rules: 138\n','Number of rules: 119\n','Number of rules: 148\n','Number of rules: 147\n','Number of rules: 151\n','Number of rules: 5\n','Number of rules: 6\n','Number of rules: 8\n','Number of rules: 7\n','Number of rules: 9\n','Number of rules: 141\n','Number of rules: 120\n','Number of rules: 142\n','Number of rules: 153\n','Number of rules: 161\n','Number of rules: 155\n','Number of rules: 150\n','Number of rules: 125\n','Number of rules: 118\n','Number of leaves: 145\nSize of the tree: 289\n','Number of leaves: 135\nSize of the tree: 269\n','Number of leaves: 164\nSize of the tree: 327\n','Number of leaves: 149\nSize of the tree: 297\n','Number of leaves: 148\nSize of the tree: 295\n','Number of leaves: 152\nSize of the tree: 303\n','Number of leaves: 156\nSize of the tree: 311\n','Number of leaves: 142\nSize of the tree: 283\n','Number of leaves: 130\nSize of the tree: 259\n','Number of leaves: 141\nSize of the tree: 281\n','Number of leaves: 143\nSize of the tree: 285\n','Number of leaves: 154\nSize of the tree: 307\n','Number of leaves: 167\nSize of the tree: 333\n','Number of leaves: 155\nSize of the tree: 309\n','Number of leaves: 126\nSize of the tree: 251\n','Number of leaves: 137\nSize of the tree: 273\n','Number of leaves: 161\nSize of the tree: 321\n','Number of leaves: 153\nSize of the tree: 305\n','Number of leaves: 159\nSize of the tree: 317\n','Number of leaves: 139\nSize of the tree: 277\n','Number of leaves: 136\nSize of the tree: 271\n','Number of leaves: 151\nSize of the tree: 301\n','Number of leaves: 138\nSize of the tree: 275\n','Number of leaves: 150\nSize of the tree: 299\n','Number of leaves: 144\nSize of the tree: 287\n','Number of leaves: 147\nSize of the tree: 293\n','Number of leaves: 158\nSize of the tree: 315\n','Number of leaves: 129\nSize of the tree: 257\n','Number of leaves: 140\nSize of the tree: 279\n','Number of leaves: 170\nSize of the tree: 339\n','Number of leaves: 133\nSize of the tree: 265\n','Number of leaves: 128\nSize of the tree: 255\n','Number of leaves: 146\nSize of the tree: 291\n','Number of leaves: 134\nSize of the tree: 267\n','Number of leaves: 124\nSize of the tree: 247\n','Number of leaves: 7\nSize of the tree: 10\n','Number of leaves: 6\nSize of the tree: 8\n','Number of leaves: 5\nSize of the tree: 6\n','Number of leaves: 8\nSize of the tree: 12\n','Number of leaves: 9\nSize of the tree: 14\n','Number of leaves: 10\nSize of the tree: 16\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 138\nSize of the tree: 227\n','Number of leaves: 149\nSize of the tree: 249\n','Number of leaves: 157\nSize of the tree: 261\n','Number of leaves: 145\nSize of the tree: 249\n','Number of leaves: 153\nSize of the tree: 253\n','Number of leaves: 122\nSize of the tree: 203\n','Number of leaves: 134\nSize of the tree: 227\n','Number of leaves: 127\nSize of the tree: 213\n','Number of leaves: 152\nSize of the tree: 251\n','Number of leaves: 136\nSize of the tree: 231\n','Number of leaves: 116\nSize of the tree: 195\n','Number of leaves: 159\nSize of the tree: 265\n','Number of leaves: 142\nSize of the tree: 235\n','Number of leaves: 154\nSize of the tree: 247\n','Number of leaves: 152\nSize of the tree: 255\n','Number of leaves: 145\nSize of the tree: 241\n','Number of leaves: 166\nSize of the tree: 267\n','Number of leaves: 115\nSize of the tree: 189\n','Number of leaves: 140\nSize of the tree: 235\n','Number of leaves: 124\nSize of the tree: 207\n','Number of leaves: 137\nSize of the tree: 233\n','Number of leaves: 141\nSize of the tree: 241\n','Number of leaves: 155\nSize of the tree: 253\n','Number of leaves: 153\nSize of the tree: 257\n','Number of leaves: 146\nSize of the tree: 239\n','Number of leaves: 137\nSize of the tree: 229\n','Number of leaves: 170\nSize of the tree: 279\n','Number of leaves: 134\nSize of the tree: 219\n','Number of leaves: 130\nSize of the tree: 215\n','Number of leaves: 119\nSize of the tree: 197\n','Number of leaves: 145\nSize of the tree: 245\n','Number of leaves: 147\nSize of the tree: 241\n','Number of leaves: 154\nSize of the tree: 259\n','Number of leaves: 143\nSize of the tree: 241\n','Number of leaves: 139\nSize of the tree: 233\n','Number of leaves: 152\nSize of the tree: 259\n','Number of leaves: 155\nSize of the tree: 261\n','Number of leaves: 128\nSize of the tree: 211\n','Number of leaves: 131\nSize of the tree: 221\n','Number of leaves: 146\nSize of the tree: 243\n','Number of leaves: 140\nSize of the tree: 231\n','Number of leaves: 188\nSize of the tree: 307\n','Number of leaves: 136\nSize of the tree: 227\n','Number of leaves: 159\nSize of the tree: 249\n','Number of leaves: 170\nSize of the tree: 283\n','Number of leaves: 106\nSize of the tree: 183\n','Number of leaves: 132\nSize of the tree: 227\n','Number of leaves: 159\nSize of the tree: 261\n','Number of leaves: 156\nSize of the tree: 263\n','Number of leaves: 138\nSize of the tree: 231\n','Number of leaves: 120\nSize of the tree: 203\n','Number of leaves: 172\nSize of the tree: 283\n','Number of leaves: 149\nSize of the tree: 245\n','Number of leaves: 160\nSize of the tree: 263\n','Number of leaves: 158\nSize of the tree: 255\n','Number of leaves: 127\nSize of the tree: 217\n','Number of leaves: 173\nSize of the tree: 273\n','Number of leaves: 130\nSize of the tree: 219\n','Number of leaves: 164\nSize of the tree: 267\n','Number of leaves: 153\nSize of the tree: 245\n','Number of leaves: 161\nSize of the tree: 269\n','Number of leaves: 151\nSize of the tree: 249\n','Number of leaves: 177\nSize of the tree: 285\n','Number of leaves: 119\nSize of the tree: 209\n','Number of leaves: 140\nSize of the tree: 227\n','Number of leaves: 120\nSize of the tree: 199\n','Number of leaves: 137\nSize of the tree: 225\n','Number of leaves: 108\nSize of the tree: 187\n','Number of leaves: 144\nSize of the tree: 243\n','Number of leaves: 143\nSize of the tree: 233\n','Number of leaves: 116\nSize of the tree: 199\n','Number of leaves: 152\nSize of the tree: 243\n','Number of leaves: 148\nSize of the tree: 239\n','Number of leaves: 134\nSize of the tree: 223\n','Number of leaves: 150\nSize of the tree: 247\n','Number of leaves: 136\nSize of the tree: 223\n','Number of leaves: 126\nSize of the tree: 211\n','Number of leaves: 134\nSize of the tree: 231\n','Number of leaves: 122\nSize of the tree: 207\n','Number of leaves: 158\nSize of the tree: 263\n','Number of leaves: 132\nSize of the tree: 219\n','Number of leaves: 147\nSize of the tree: 245\n'}
@attribute measureNumRules numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',7,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1029,114,50,64,0,43.859649,56.140351,0,0,0.237933,0.344761,100,100,231.137717,231.137717,0,2.027524,2.027524,0,0,0,0,1,50,1,64,0,0,0,0,0.438596,1,0.609756,?,0.5,0.438596,0.438596,0.438596,0.561404,0.561404,?,0.438596,?,?,0.5,0.286857,?,0.438596,0,0,0,0,0,0,1016,147782,18767,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',7,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1029,114,50,64,0,43.859649,56.140351,0,0,0.237933,0.344761,100,100,231.137717,231.137717,0,2.027524,2.027524,0,0,0,0,1,50,1,64,0,0,0,0,0.438596,1,0.609756,?,0.5,0.438596,0.438596,0.438596,0.561404,0.561404,?,0.438596,?,?,0.5,0.286857,?,0.438596,0,0,0,0,0,0,1016,147782,18767,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',7,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1029,114,50,64,0,43.859649,56.140351,0,0,0.237933,0.344761,100,100,231.137717,231.137717,0,2.027524,2.027524,0,0,0,0,1,50,1,64,0,0,0,0,0.438596,1,0.609756,?,0.5,0.438596,0.438596,0.438596,0.561404,0.561404,?,0.438596,?,?,0.5,0.286857,?,0.438596,0,0,0,0,0,0,1016,147782,18767,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',7,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1029,114,50,64,0,43.859649,56.140351,0,0,0.237933,0.344761,100,100,231.137717,231.137717,0,2.027524,2.027524,0,0,0,0,1,50,1,64,0,0,0,0,0.438596,1,0.609756,?,0.5,0.438596,0.438596,0.438596,0.561404,0.561404,?,0.438596,?,?,0.5,0.286857,?,0.438596,0,0,0,0,0,0,1016,147782,18767,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',7,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1029,114,50,64,0,43.859649,56.140351,0,0,0.237933,0.344761,100,100,231.137717,231.137717,0,2.027524,2.027524,0,0,0,0,1,50,1,64,0,0,0,0,0.438596,1,0.609756,?,0.5,0.438596,0.438596,0.438596,0.561404,0.561404,?,0.438596,?,?,0.5,0.286857,?,0.438596,0.001,0,0,0,0,0,1016,147782,18767,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',8,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1028,115,51,64,0,44.347826,55.652174,0,0,0.237805,0.344551,100,100,233.34719,233.34719,0,2.029106,2.029106,0,0,0,0,1,51,1,64,0,0,0,0,0.443478,1,0.614458,?,0.5,0.443478,0.443478,0.443478,0.556522,0.556522,?,0.443478,?,?,0.5,0.287864,?,0.443478,0.001,0,0,0,0,0,1016,147641,18908,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',8,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1028,115,51,64,0,44.347826,55.652174,0,0,0.237805,0.344551,100,100,233.34719,233.34719,0,2.029106,2.029106,0,0,0,0,1,51,1,64,0,0,0,0,0.443478,1,0.614458,?,0.5,0.443478,0.443478,0.443478,0.556522,0.556522,?,0.443478,?,?,0.5,0.287864,?,0.443478,0.001,0,0,0,0,0,1016,147641,18908,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',8,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1028,115,50,65,0,43.478261,56.521739,0,0,0.238416,0.345548,100,100,234.475156,234.475156,0,2.038914,2.038914,0,0,0,0,1,50,1,65,0,0,0,0,0.434783,1,0.606061,?,0.5,0.434783,0.434783,0.434783,0.565217,0.565217,?,0.434783,?,?,0.5,0.283629,?,0.434783,0,0,0,0,0,0,1016,147641,18908,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',8,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1029,114,50,64,0,43.859649,56.140351,0,0,0.237933,0.344761,100,100,231.137717,231.137717,0,2.027524,2.027524,0,0,0,0,1,50,1,64,0,0,0,0,0.438596,1,0.609756,?,0.5,0.438596,0.438596,0.438596,0.561404,0.561404,?,0.438596,?,?,0.5,0.286857,?,0.438596,0,0,0,0,0,0,1016,147782,18767,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',8,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1029,114,50,64,0,43.859649,56.140351,0,0,0.237933,0.344761,100,100,231.137717,231.137717,0,2.027524,2.027524,0,0,0,0,1,50,1,64,0,0,0,0,0.438596,1,0.609756,?,0.5,0.438596,0.438596,0.438596,0.561404,0.561404,?,0.438596,?,?,0.5,0.286857,?,0.438596,0,0,0,0,0,0,1016,147782,18767,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',8,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1029,114,50,64,0,43.859649,56.140351,0,0,0.237933,0.344761,100,100,231.137717,231.137717,0,2.027524,2.027524,0,0,0,0,1,50,1,64,0,0,0,0,0.438596,1,0.609756,?,0.5,0.438596,0.438596,0.438596,0.561404,0.561404,?,0.438596,?,?,0.5,0.286857,?,0.438596,0.001,0,0,0,0,0,1016,147782,18767,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',8,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1029,114,50,64,0,43.859649,56.140351,0,0,0.237933,0.344761,100,100,231.137717,231.137717,0,2.027524,2.027524,0,0,0,0,1,50,1,64,0,0,0,0,0.438596,1,0.609756,?,0.5,0.438596,0.438596,0.438596,0.561404,0.561404,?,0.438596,?,?,0.5,0.286857,?,0.438596,0,0,0,0,0,0,1016,147782,18767,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',8,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1029,114,50,64,0,43.859649,56.140351,0,0,0.237933,0.344761,100,100,231.137717,231.137717,0,2.027524,2.027524,0,0,0,0,1,50,1,64,0,0,0,0,0.438596,1,0.609756,?,0.5,0.438596,0.438596,0.438596,0.561404,0.561404,?,0.438596,?,?,0.5,0.286857,?,0.438596,0,0,0,0,0,0,1016,147782,18767,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',8,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1029,114,50,64,0,43.859649,56.140351,0,0,0.237933,0.344761,100,100,231.137717,231.137717,0,2.027524,2.027524,0,0,0,0,1,50,1,64,0,0,0,0,0.438596,1,0.609756,?,0.5,0.438596,0.438596,0.438596,0.561404,0.561404,?,0.438596,?,?,0.5,0.286857,?,0.438596,0,0,0,0,0,0,1016,147782,18767,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',8,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1029,114,50,64,0,43.859649,56.140351,0,0,0.237571,0.344171,100,100,229.437383,229.437383,0,2.012609,2.012609,0,0,0,0,1,50,1,64,0,0,0,0,0.438596,1,0.609756,?,0.5,0.438596,0.438596,0.438596,0.561404,0.561404,?,0.438596,?,?,0.5,0.289474,?,0.438596,0,0,0,0,0,0,1016,147782,18767,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',9,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1028,115,50,65,0,43.478261,56.521739,0,0,0.238152,0.345119,100,100,233.451461,233.451461,0,2.030013,2.030013,0,0,0,0,1,50,1,65,0,0,0,0,0.434783,1,0.606061,?,0.5,0.434783,0.434783,0.434783,0.565217,0.565217,?,0.434783,?,?,0.5,0.285444,?,0.434783,0.001,0,0,0,0,0,1016,147641,18908,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',9,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1028,115,51,64,0,44.347826,55.652174,0,0,0.237805,0.344551,100,100,233.34719,233.34719,0,2.029106,2.029106,0,0,0,0,1,51,1,64,0,0,0,0,0.443478,1,0.614458,?,0.5,0.443478,0.443478,0.443478,0.556522,0.556522,?,0.443478,?,?,0.5,0.287864,?,0.443478,0,0,0,0,0,0,1016,147641,18908,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',9,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1028,115,51,64,0,44.347826,55.652174,0,0,0.237805,0.344551,100,100,233.34719,233.34719,0,2.029106,2.029106,0,0,0,0,1,51,1,64,0,0,0,0,0.443478,1,0.614458,?,0.5,0.443478,0.443478,0.443478,0.556522,0.556522,?,0.443478,?,?,0.5,0.287864,?,0.443478,0.001,0,0,0,0,0,1016,147641,18908,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',9,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1029,114,50,64,0,43.859649,56.140351,0,0,0.237837,0.344604,100,100,230.461078,230.461078,0,2.021588,2.021588,0,0,0,0,1,50,1,64,0,0,0,0,0.438596,1,0.609756,?,0.5,0.438596,0.438596,0.438596,0.561404,0.561404,?,0.438596,?,?,0.5,0.287627,?,0.438596,0,0,0,0,0,0,1016,147782,18767,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',9,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1029,114,50,64,0,43.859649,56.140351,0,0,0.237933,0.344761,100,100,231.137717,231.137717,0,2.027524,2.027524,0,0,0,0,1,50,1,64,0,0,0,0,0.438596,1,0.609756,?,0.5,0.438596,0.438596,0.438596,0.561404,0.561404,?,0.438596,?,?,0.5,0.286857,?,0.438596,0.001,0,0,0,0,0,1016,147782,18767,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',9,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1029,114,50,64,0,43.859649,56.140351,0,0,0.237933,0.344761,100,100,231.137717,231.137717,0,2.027524,2.027524,0,0,0,0,1,50,1,64,0,0,0,0,0.438596,1,0.609756,?,0.5,0.438596,0.438596,0.438596,0.561404,0.561404,?,0.438596,?,?,0.5,0.286857,?,0.438596,0,0,0,0,0,0,1016,147782,18767,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',9,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1029,114,50,64,0,43.859649,56.140351,0,0,0.237933,0.344761,100,100,231.137717,231.137717,0,2.027524,2.027524,0,0,0,0,1,50,1,64,0,0,0,0,0.438596,1,0.609756,?,0.5,0.438596,0.438596,0.438596,0.561404,0.561404,?,0.438596,?,?,0.5,0.286857,?,0.438596,0,0,0,0,0,0,1016,147782,18767,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',9,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1029,114,50,64,0,43.859649,56.140351,0,0,0.237933,0.344761,100,100,231.137717,231.137717,0,2.027524,2.027524,0,0,0,0,1,50,1,64,0,0,0,0,0.438596,1,0.609756,?,0.5,0.438596,0.438596,0.438596,0.561404,0.561404,?,0.438596,?,?,0.5,0.286857,?,0.438596,0,0,0,0,0,0,1016,147782,18767,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',9,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1029,114,50,64,0,43.859649,56.140351,0,0,0.237933,0.344761,100,100,231.137717,231.137717,0,2.027524,2.027524,0,0,0,0,1,50,1,64,0,0,0,0,0.438596,1,0.609756,?,0.5,0.438596,0.438596,0.438596,0.561404,0.561404,?,0.438596,?,?,0.5,0.286857,?,0.438596,0,0,0,0,0,0,1016,147782,18767,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',9,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1029,114,50,64,0,43.859649,56.140351,0,0,0.237933,0.344761,100,100,231.137717,231.137717,0,2.027524,2.027524,0,0,0,0,1,50,1,64,0,0,0,0,0.438596,1,0.609756,?,0.5,0.438596,0.438596,0.438596,0.561404,0.561404,?,0.438596,?,?,0.5,0.286857,?,0.438596,0,0,0,0,0,0,1016,147782,18767,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',10,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1028,115,51,64,0,44.347826,55.652174,0,0,0.237544,0.344126,100,100,232.33199,232.33199,0,2.020278,2.020278,0,0,0,0,1,51,1,64,0,0,0,0,0.443478,1,0.614458,?,0.5,0.443478,0.443478,0.443478,0.556522,0.556522,?,0.443478,?,?,0.5,0.289527,?,0.443478,0,0.001,0,0,0,0,1016,147641,18908,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',10,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1028,115,50,65,0,43.478261,56.521739,0,0,0.238416,0.345548,100,100,234.475156,234.475156,0,2.038914,2.038914,0,0,0,0,1,50,1,65,0,0,0,0,0.434783,1,0.606061,?,0.5,0.434783,0.434783,0.434783,0.565217,0.565217,?,0.434783,?,?,0.5,0.283629,?,0.434783,0,0,0,0,0,0,1016,147641,18908,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',10,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1028,115,50,65,0,43.478261,56.521739,0,0,0.238416,0.345548,100,100,234.475156,234.475156,0,2.038914,2.038914,0,0,0,0,1,50,1,65,0,0,0,0,0.434783,1,0.606061,?,0.5,0.434783,0.434783,0.434783,0.565217,0.565217,?,0.434783,?,?,0.5,0.283629,?,0.434783,0,0,0,0,0,0,1016,147641,18908,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',10,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1029,114,50,64,0,43.859649,56.140351,0,0,0.237837,0.344604,100,100,230.461078,230.461078,0,2.021588,2.021588,0,0,0,0,1,50,1,64,0,0,0,0,0.438596,1,0.609756,?,0.5,0.438596,0.438596,0.438596,0.561404,0.561404,?,0.438596,?,?,0.5,0.287627,?,0.438596,0,0,0,0,0,0,1016,147782,18767,100,83.333333,?,?,?,?
'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31',10,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20220319.2033,1029,114,50,64,0,43.859649,56.140351,0,0,0.237933,0.344761,100,100,231.137717,231.137717,0,2.027524,2.027524,0,0,0,0,1,50,1,64,0,0,0,0,0.438596,1,0.609756,?,0.5,0.438596,0.438596,0.438596,0.561404,0.561404,?,0.438596,?,?,0.5,0.286857,?,0.438596,0,0,0,0,0,0,1016,147782,18767,100,83.333333,?,?,?,?
